Name,Geschwindigkeit,Ballkontrolle,Lieblingssport
Anna,5.0,7.0,Basketball
Ben,4.8,6.5,Basketball
Clara,5.2,7.5,Basketball
David,5.1,6.8,Basketball
Eva,4.9,7.2,Basketball
Felix,5.3,6.9,Basketball
Greta,5.0,7.1,Basketball
Hannes,5.2,6.7,Basketball
Isabel,4.7,7.0,Basketball
Jonas,5.1,6.6,Basketball
Klara,5.8,6.2,Fußball
Leon,6.0,5.8,Fußball
Mia,5.6,6.0,Fußball
Nico,6.2,6.3,Fußball
Olivia,5.9,5.9,Fußball
Paul,6.1,6.1,Fußball
Quirin,5.7,6.2,Fußball
Rosa,6.0,5.8,Fußball
Simon,5.8,6.0,Fußball
Tina,6.3,5.9,Fußball
Uwe,4.0,7.5,Tennis
Vera,3.8,7.8,Tennis
Wolfgang,4.2,7.9,Tennis
Xenia,4.1,8.0,Tennis
Yannick,3.9,7.6,Tennis
Zoe,4.3,8.1,Tennis
Amelie,4.0,7.7,Tennis
Bastian,3.7,7.9,Tennis
Carla,4.2,8.0,Tennis
Darius,3.9,7.5,Tennis
Elena,5.1,7.2,Basketball
Frieda,4.9,6.8,Basketball
Gustav,5.0,7.0,Basketball
Helene,5.3,6.7,Basketball
Ian,4.8,7.1,Basketball
Jana,5.2,6.9,Basketball
Kevin,5.1,6.8,Basketball
Lara,5.0,7.2,Basketball
Moritz,6.0,6.0,Fußball
Nina,5.8,6.1,Fußball
Oskar,6.1,5.9,Fußball
Paula,5.7,6.2,Fußball
Quinn,6.2,6.0,Fußball
Ronja,5.9,5.8,Fußball
Stefan,6.0,6.1,Fußball
Theresa,5.8,6.3,Fußball
Ulrike,4.0,7.8,Tennis
Victor,4.2,7.9,Tennis
Wanda,3.9,8.0,Tennis
Xander,4.1,7.6,Tennis
Yara,4.0,7.7,Tennis
Zeno,4.3,7.8,Tennis
Alex,5.0,7.1,Basketball
Bella,5.2,6.9,Basketball
Chris,4.9,7.0,Basketball
Daniela,5.1,6.8,Basketball
Elias,5.3,7.2,Basketball
Franziska,4.8,6.7,Basketball
Georg,5.0,7.0,Basketball
Hannah,5.1,6.9,Basketball
Igor,4.9,7.1,Basketball
Julia,5.2,6.8,Basketball
Karl,5.9,6.1,Fußball
Lina,6.2,5.9,Fußball
Max,6.0,6.2,Fußball
Nele,5.8,6.0,Fußball
Olivier,6.1,5.8,Fußball
Patricia,5.7,6.3,Fußball
Quentin,6.0,6.1,Fußball
Rebecca,5.9,5.9,Fußball
Samuel,6.2,6.0,Fußball
Theresa,5.8,6.2,Fußball
Ulf,4.0,7.6,Tennis
Valerie,4.2,7.8,Tennis
Willi,4.1,7.9,Tennis
Ximena,3.9,7.7,Tennis
Yves,4.0,7.5,Tennis
Zara,4.3,7.8,Tennis
Aaron,3.8,7.9,Tennis
Bianca,4.1,8.0,Tennis
Cedric,4.0,7.6,Tennis
Daphne,4.2,7.7,Tennis
Erik,5.0,7.0,Basketball
Fiona,5.1,6.8,Basketball
Gunnar,5.2,6.9,Basketball
Helga,4.9,7.1,Basketball
Igna,5.0,6.7,Basketball
Johan,5.3,7.0,Basketball
Katrin,4.8,6.9,Basketball
Ludwig,5.1,7.2,Basketball
Marlene,5.0,6.8,Basketball
Niklas,4.9,7.1,Basketball
Olaf,6.1,6.0,Fußball
Petra,5.8,6.2,Fußball
Quincy,6.0,6.1,Fußball
Rafael,5.9,5.9,Fußball
Sabine,6.2,6.0,Fußball
Tim,5.7,6.3,Fußball
Ursula,6.0,5.8,Fußball
Viktor,5.8,6.1,Fußball
Wilma,6.1,5.9,Fußball
Xaver,5.9,6.2,Fußball
Yvonne,4.1,7.8,Tennis
Zacharias,3.9,7.7,Tennis
Amir,4.0,7.9,Tennis
Brigitte,4.2,8.0,Tennis
Conrad,4.0,7.6,Tennis
Doris,3.8,7.8,Tennis
Emil,4.1,7.7,Tennis
Freya,4.3,7.9,Tennis
Gideon,4.0,7.8,Tennis
Hedwig,4.2,7.6,Tennis
Anton,5.0,6.9,Basketball
Barbara,5.2,7.1,Basketball
Christian,4.9,6.8,Basketball
Daniel,5.1,7.0,Basketball
Elisa,5.0,6.7,Basketball
Fabian,5.3,7.2,Basketball
Gabriele,4.8,7.0,Basketball
Harald,5.1,6.9,Basketball
Isolde,5.0,7.1,Basketball
Jakob,4.9,6.8,Basketball
Klaus,6.0,6.1,Fußball
Laura,5.8,5.9,Fußball
Matthias,6.2,6.0,Fußball
Nina,5.9,6.2,Fußball
Oliver,6.1,5.8,Fußball
Petra,5.7,6.1,Fußball
Quentin,6.0,6.0,Fußball
Renate,5.9,5.9,Fußball
Stefan,6.2,6.2,Fußball
Tobias,5.8,6.1,Fußball
Ulla,4.0,7.7,Tennis
Victor,4.1,7.9,Tennis
Wiebke,3.9,7.8,Tennis
Xaver,4.2,8.0,Tennis
Yasmin,4.0,7.6,Tennis
Zeno,4.3,7.9,Tennis
