Marke,Kilometerstand,Baujahr,Preis,Bildlink
BMW,150000,2015,18000,https://p6.focus.de/img/fotos/id_150323057/bmw-320d-mj-2022-2.jpg?im=Crop%3D%280%2C19%2C1800%2C1142%29%3BResize%3D%28630%2C399%29&impolicy=perceptual&quality=mediumHigh&hash=d94fd81fbe4737bb9cb235d85c5ca1af2c144b5bce5aa5f8213f57c914e33cea
Audi,180000,2012,15000,https://www.autoscout24.de/cms-content-assets/3B9Y6H0d0IKW0ME1vvMYED-6c735012b9f221707af8eb7bf297c004-Audi-A4-2008-1280-0b-1100.webp
Mercedes,120000,2018,22000,https://cdn.motor1.com/images/mgl/ZWRry/s3/mercedes-benz-c-300-4matic-2021-im-test.webp
Volkswagen,200000,2010,12000,https://images.prismic.io/carwow/38fe8c92-7e8d-42b8-83bb-54e684500aa0_LHD+VW+Golf+2024+Exterior+15.jpg?auto=format&cs=tinysrgb&fit=crop&q=60&w=750
Ford,170000,2014,14000,https://media1.faz.net/ppmedia/w1240/aktuell/technik-motor/4041955827/1.6639903/1900x850/nur-noch-als-diesel-oder.jpg.webp
Opel,140000,2016,13000,https://stellantis3.dam-broadcast.com/medias/domain12808/media108610/2583118-171opi4p92-whr.jpg
Toyota,130000,2017,16000,https://i.auto-bild.de/ir_img/2/9/4/2/3/3/9/Tuning-Trophy-Germany---Toyota-GT-86-2869-4800x2694-68f15de96da620d9.jpg?impolicy=leadteaser
Honda,160000,2013,14500,https://upload.wikimedia.org/wikipedia/commons/f/f9/2013_Honda_Civic_Sedan_%28facelift%29.jpg
Hyundai,110000,2019,17000,https://upload.wikimedia.org/wikipedia/commons/3/37/Hyundai_Kona_1.0_T-GDI_2018.jpg
Volvo,190000,2011,13500,https://upload.wikimedia.org/wikipedia/commons/3/37/Volvo_XC60_T6_AWD_R-design_2011.jpg
Dacia,0,2025,45000,https://upload.wikimedia.org/wikipedia/commons/c/cf/2025_Dacia_Spring_Front.jpg
Porsche,50000,2020,55000,https://upload.wikimedia.org/wikipedia/commons/3/31/2020_Porsche_911_Carrera_4S.jpg
Ferrari,30000,2019,120000,https://upload.wikimedia.org/wikipedia/commons/d/d3/Ferrari_488_Spider_2016.jpg
Lamborghini,10000,2021,200000,https://upload.wikimedia.org/wikipedia/commons/3/3d/Lamborghini_Urus_2021_Front.jpg
Mazda,180000,2014,11000,https://upload.wikimedia.org/wikipedia/commons/4/45/2014_Mazda_3_Sedan.jpg
Nissan,210000,2011,9500,https://upload.wikimedia.org/wikipedia/commons/6/6d/2011_Nissan_Altima_2.5_S_in_Grey.jpg
Peugeot,220000,2010,8500,https://upload.wikimedia.org/wikipedia/commons/5/5d/Peugeot_508_2010.jpg
Kia,90000,2018,14000,https://upload.wikimedia.org/wikipedia/commons/9/9e/2018_Kia_Soul_2.0_Front.jpg
Renault,80000,2016,12000,https://upload.wikimedia.org/wikipedia/commons/a/a0/Renault_Mégane_IV_1.2_TCe_Front.jpg
Skoda,250000,2009,6000,https://upload.wikimedia.org/wikipedia/commons/4/44/Skoda_Octavia_II_Facelift_1.6_Front.jpg
Chevrolet,300000,2008,4000,https://upload.wikimedia.org/wikipedia/commons/f/f7/2008_Chevrolet_Impala_LTZ.jpg
BMW,50000,2022,35000,https://upload.wikimedia.org/wikipedia/commons/1/1f/2022_BMW_3_Series_F30_Facelift.jpg
Audi,100000,2020,33000,https://upload.wikimedia.org/wikipedia/commons/c/c7/2020_Audi_A4_B9_Facelift_2.0_TDI_Quattro_Heckansicht.jpg
Volkswagen,100000,2021,25000,https://upload.wikimedia.org/wikipedia/commons/5/55/Volkswagen_Golf_8_Front_2020.jpg
Fiat,240000,2007,3000,https://upload.wikimedia.org/wikipedia/commons/7/7d/2007_Fiat_500_1.3_JTD_120.jpg
